DATAFLOW,LAST UPDATE,freq,unit,tra_mode,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2008,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2009,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2010,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2011,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2012,0.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2013,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2014,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2015,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2016,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2017,0.1,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2018,0.1,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2019,0.1,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2020,0.1,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CH,2021,0.1,e
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2005,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2006,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2007,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2008,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2009,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2010,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2011,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2012,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2013,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2014,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2015,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2016,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2017,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2018,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2019,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2020,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CY,2021,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2005,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2006,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2007,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2008,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2009,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2010,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2011,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2012,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2013,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2014,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2015,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2016,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2017,0.0,n
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2018,0.0,n
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2019,0.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2020,0.0,n
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,CZ,2021,0.0,n
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2005,12.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2006,11.3,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2007,10.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2008,10.7,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2009,10.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2010,10.8,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2011,9.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2012,10.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2013,10.2,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2014,9.9,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2015,9.1,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2016,8.7,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2017,8.7,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2018,7.5,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2019,8.0,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2020,7.5,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DE,2021,7.4,
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2005,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2006,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2007,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2008,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2009,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2010,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2011,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2012,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2013,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2014,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2015,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2016,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2017,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2018,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2019,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2020,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,DK,2021,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2005,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2006,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2007,,z
